학과명,대계열
만화애니메이션전공,인문
사진ㆍ애니메이션학부,인문
사진영상전공,인문
사진영상학부,인문
사진영상미디어학과,인문
카툰코믹스전공,인문
애니메이션프로덕트인터렉션전공,인문
출판만화전공,인문
영상만화전공,인문
응용만화전공,인문
그래픽애니메이션학과,인문
만화콘텐츠전공,인문
사진・만화애니메이션전공,인문
만화・애니메이션학과,인문
만화·애니메이션학전공,인문
사진영상미디어전공,인문
순수사진전공,인문
매체사진전공,인문
광고사진전공,인문
만화ㆍ애니메이션디자인전공,인문
미술대학 애니메이션전공,인문
애니메이션학전공,인문
미술학부 만화애니메이션전공,인문
예체능대학 만화.애니메이션학과,인문
예체능대학 사진영상학과,인문
애니메이션콘텐츠전공,인문
CT대학 사진영상학과,인문
CT대학 애니메이션학과,인문
"만화, 애니메이션학부",인문
3D애니메이션전공,인문
사회문화대학 애니메이션학과,인문
사진·만화애니매이션(문화산업대학),인문
사진예술학과(인문예술),인문
만화예술전공,인문
만화예술학전공,인문
만화・디지털콘텐츠학부,인문
만화애니메이션과,인문
만화예술학과(인문예술),인문
애니매이션학과,인문
만화애니메이션학부,인문
애니메이션전공(2),인문
카툰코믹스전공(2),인문
애니메이션&비주얼이펙트전공,인문
공연영상창작학부(사진전공),인문
디자인애니메이션학부,인문
디자인・애니메이션학부,인문
만화・애니메이션과,인문
애니메이션영상학과,인문
만화게임영상학과,인문
만화・애니메이션전공,인문
디지털콘텐츠학과(예체능),인문
디자인·영상학부 애니메이션전공,인문
만화·애니메이션전공,인문
사진미디어전공,인문
광고사진영상학과,인문
사진영상콘텐츠학과,인문
사진미디어과,인문
사진영상드론학과,인문
만화게임영상전공,인문
만화애니콘텐츠학과,인문
모바일게임웹툰전공,인문
디지털게임웹툰전공,인문
게임애니메이션융합학부(애니메이션트랙),인문
웹툰영화학과,인문
아트앤웹툰학과,인문
예술학부 사진영상미디어전공,인문
예술학부 디지털만화영상전공,인문
공연영상학과,인문
공연영상학부,인문
공연영상학전공,인문
다매체영상학과,인문
다중매체사진영상학부,인문
다중매체영상학부,인문
디지털문화예술학부,인문
디지털문화이벤트전공,인문
멀티미디어영상학과,인문
멀티미디어영상학부,인문
멀티미디어창작전공,인문
미디어아트전공,인문
미디어영상학부,인문
미디어예술학부,인문
방송영상문화학과,인문
방송영상정보학부,인문
방송영상학부,인문
방송영상학전공,인문
언론영상전공,인문
언론영상학부,인문
언론영상학전공,인문
연극영상학과,인문
연극영상학부,인문
영상매스컴학부,인문
영상멀티미디어,인문
영상문화과,인문
영상미디어학과,인문
영상사진공연학부,인문
영상영화전공,인문
영상예술학과,인문
영상예술학부,인문
영상전공,인문
영상정보통신공학전공,인문
영상처리학과,인문
영상학부,인문
영상학전공,인문
영화영상전공,인문
영화영상학과,인문
영화영상학부,인문
예술대학,인문
예술영상학부,인문
예술학과,인문
예술학전공,인문
예체능・영상학부,인문
예체능학부,인문
이벤트예술과,인문
인체예술학부,인문
정보영상학부,인문
컴퓨터그래픽학과,인문
컴퓨터그래픽학전공,인문
컴퓨터디지털영상학부,인문
컴퓨터영상정보통신학과군,인문
Film & Video 전공,인문
미디어아트학부,인문
방송ㆍ영상전공,인문
영상미디어전공,인문
영상애니메이션학과,인문
영상정보전공,인문
영상정보전자전공,인문
영상콘텐츠전공,인문
영화영상공학전공,인문
예술체육학부,인문
영상문화전공,인문
방송영상기술학과,인문
방송영상산업학과,인문
영상문학과,인문
공연영상예술학부,인문
언론영상학과,인문
영상예술학전공,인문
영상컨텐츠전공,인문
영상매체공연학전공,인문
미디어영상학과,인문
영상문화학과,인문
공연미디어학부,인문
공연영상학부 영화전공,인문
언론방송영상학부,인문
엔터테인먼트경영전공,인문
영상문화학부,인문
예술문화영상학과,인문
영상기술전공,인문
영화방송전공,인문
디지털영상그래픽학과,인문
영상제작전공,인문
